StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RecaptchaAssessmentName,Q1.1_First Click,Q1.1_Last Click,Q1.1_Page Submit,Q1.1_Click Count,Q2.1,Q2.1_3_TEXT,Q2.2,Q2.3,Q2.3_7_TEXT,Q2.4,Q2.5,Q2.6,Q2.7_1,Q3.1_First Click,Q3.1_Last Click,Q3.1_Page Submit,Q3.1_Click Count,Q4.1_First Click,Q4.1_Last Click,Q4.1_Page Submit,Q4.1_Click Count,Q4.3_First Click,Q4.3_Last Click,Q4.3_Page Submit,Q4.3_Click Count,Q5.1_First Click,Q5.1_Last Click,Q5.1_Page Submit,Q5.1_Click Count,Q6.1_First Click,Q6.1_Last Click,Q6.1_Page Submit,Q6.1_Click Count,Q6.3_First Click,Q6.3_Last Click,Q6.3_Page Submit,Q6.3_Click Count,Q6.4_1,Q6.5_1,Q6.6_First Click,Q6.6_Last Click,Q6.6_Page Submit,Q6.6_Click Count,Q6.8_First Click,Q6.8_Last Click,Q6.8_Page Submit,Q6.8_Click Count,Q6.9_1,Q6.10_1,Q6.11_First Click,Q6.11_Last Click,Q6.11_Page Submit,Q6.11_Click Count,Q6.13_First Click,Q6.13_Last Click,Q6.13_Page Submit,Q6.13_Click Count,Q6.14_1,Q6.15_1,Q6.16_First Click,Q6.16_Last Click,Q6.16_Page Submit,Q6.16_Click Count,Q6.18_First Click,Q6.18_Last Click,Q6.18_Page Submit,Q6.18_Click Count,Q6.19_1,Q6.20_1,Q6.21_First Click,Q6.21_Last Click,Q6.21_Page Submit,Q6.21_Click Count,Q6.23_First Click,Q6.23_Last Click,Q6.23_Page Submit,Q6.23_Click Count,Q6.24_1,Q6.25_1,Q7.1_First Click,Q7.1_Last Click,Q7.1_Page Submit,Q7.1_Click Count,Q8.1_First Click,Q8.1_Last Click,Q8.1_Page Submit,Q8.1_Click Count,Q8.3_First Click,Q8.3_Last Click,Q8.3_Page Submit,Q8.3_Click Count,Q8.4_1,Q8.5_1,Q8.6_First Click,Q8.6_Last Click,Q8.6_Page Submit,Q8.6_Click Count,Q8.8_First Click,Q8.8_Last Click,Q8.8_Page Submit,Q8.8_Click Count,Q8.9_1,Q8.10_1,Q8.11_First Click,Q8.11_Last Click,Q8.11_Page Submit,Q8.11_Click Count,Q8.13_First Click,Q8.13_Last Click,Q8.13_Page Submit,Q8.13_Click Count,Q8.14_1,Q8.15_1,Q8.16_First Click,Q8.16_Last Click,Q8.16_Page Submit,Q8.16_Click Count,Q8.18_First Click,Q8.18_Last Click,Q8.18_Page Submit,Q8.18_Click Count,Q8.19_1,Q8.20_1,Q8.21_First Click,Q8.21_Last Click,Q8.21_Page Submit,Q8.21_Click Count,Q8.23_First Click,Q8.23_Last Click,Q8.23_Page Submit,Q8.23_Click Count,Q8.24_1,Q8.25_1,Q9.1,Q9.2_1,Q9.3_1,Q9.4_1,Q9.5_1,Q9.6,Q11.1,q1_score,q2_score,q3_score,q4_score,q5_score,final_score,earnings,correct_res,true_earnings,correct,q1_txt,q2_txt,q3_txt,q4_txt,q5_txt,surveycode,MID,p1_txt,p2_txt,Random
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,Q_RecaptchaAssessmentName,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please respond to the following questions as accurately and honestly as possible.


How would you describe your gender? - Selected Choice","Please respond to the following questions as accurately and honestly as possible.


How would you describe your gender? - Other - Text",What is your age?,What is your ethnic background? - Selected Choice,What is your ethnic background? - Other - Text,What is the highest level of education you have achieved?,What is the level of your annual household income in USD?,Why are you attempting this game? Choose the closest answer.,How much do you enjoy doing math puzzles? - Please respond using the following 1-5 scale:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How stressed is this game making you feel right now? - Stress Level,How confident are you about solving the next problem correctly? - Confidence in Solving the Next Problem,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How stressed is this game making you feel right now? - Stress Level,How confident are you about solving the next problem correctly? - Confidence in Solving the Next Problem,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How stressed is this game making you feel right now? - Stress Level,How confident are you about solving the next problem correctly? - Confidence in Solving the Next Problem,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How stressed is this game making you feel right now? - Stress Level,How confident are you about solving the next problem correctly? - Confidence in Solving the Next Problem,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How stressed is this game making you feel right now? - Stress Level,How confident are you about solving the next problem correctly? - Confidence in Solving the Next Problem,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How stressed is this game making you feel right now? - Stress Level,How confident are you about solving the next problem correctly? - Confidence in Solving the Next Problem,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How stressed is this game making you feel right now? - Stress Level,How confident are you about solving the next problem correctly? - Confidence in Solving the Next Problem,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How stressed is this game making you feel right now? - Stress Level,How confident are you about solving the next problem correctly? - Confidence in Solving the Next Problem,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How stressed is this game making you feel right now? - Stress Level,How confident are you about solving the next problem correctly? - Confidence in Solving the Next Problem,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How stressed is this game making you feel right now? - Stress Level,How confident are you about solving the next problem correctly? - Confidence in Solving the Next Problem,"We would like to know more about your experience while playing the game. Please respond to the following questions as accurately and honestly as possible.

Have you played this game before?",How much did you enjoy playing the game? - Please respond using the following 1-5 scale:,How difficult was it to submit a correct response within the time limit? - Please respond using the following 1-5 scale:,How focused were you when playing the game? - Please respond using the following 1-5 scale:,How much pressure did you feel to maximize your earnings by correctly solving the puzzles? - Please respond using the following 1-5 scale:,"From the list below, which do you think had the largest impact on your performance while solving puzzle questions?","If you'd like, please let us know about your overall experience while playing Make 18 by typing in the response box below. In particular, we would be interested to know how difficult you found it to correctly solve the puzzles, and whether the time limit or opportunities to earn money (based on correct responses) affected your thought processes or performance. Feel free to share any feedback or thoughts you may have:",q1_score,q2_score,q3_score,q4_score,q5_score,final_score,earnings,correct_res,true_earnings,correct,q1_txt,q2_txt,q3_txt,q4_txt,q5_txt,surveycode,MID,p1_txt,p2_txt,Random
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""Q_RecaptchaAssessmentName""}","{""ImportId"":""QID2062_FIRST_CLICK""}","{""ImportId"":""QID2062_LAST_CLICK""}","{""ImportId"":""QID2062_PAGE_SUBMIT""}","{""ImportId"":""QID2062_CLICK_COUNT""}","{""ImportId"":""QID2031""}","{""ImportId"":""QID2031_3_TEXT""}","{""ImportId"":""QID2032""}","{""ImportId"":""QID2033""}","{""ImportId"":""QID2033_7_TEXT""}","{""ImportId"":""QID2034""}","{""ImportId"":""QID2044""}","{""ImportId"":""QID2110""}","{""ImportId"":""QID2045_1""}","{""ImportId"":""QID2063_FIRST_CLICK""}","{""ImportId"":""QID2063_LAST_CLICK""}","{""ImportId"":""QID2063_PAGE_SUBMIT""}","{""ImportId"":""QID2063_CLICK_COUNT""}","{""ImportId"":""QID2078_FIRST_CLICK""}","{""ImportId"":""QID2078_LAST_CLICK""}","{""ImportId"":""QID2078_PAGE_SUBMIT""}","{""ImportId"":""QID2078_CLICK_COUNT""}","{""ImportId"":""QID2079_FIRST_CLICK""}","{""ImportId"":""QID2079_LAST_CLICK""}","{""ImportId"":""QID2079_PAGE_SUBMIT""}","{""ImportId"":""QID2079_CLICK_COUNT""}","{""ImportId"":""QID2064_FIRST_CLICK""}","{""ImportId"":""QID2064_LAST_CLICK""}","{""ImportId"":""QID2064_PAGE_SUBMIT""}","{""ImportId"":""QID2064_CLICK_COUNT""}","{""ImportId"":""QID2054_FIRST_CLICK""}","{""ImportId"":""QID2054_LAST_CLICK""}","{""ImportId"":""QID2054_PAGE_SUBMIT""}","{""ImportId"":""QID2054_CLICK_COUNT""}","{""ImportId"":""QID2055_FIRST_CLICK""}","{""ImportId"":""QID2055_LAST_CLICK""}","{""ImportId"":""QID2055_PAGE_SUBMIT""}","{""ImportId"":""QID2055_CLICK_COUNT""}","{""ImportId"":""QID2071_1""}","{""ImportId"":""QID2072_1""}","{""ImportId"":""QID2056_FIRST_CLICK""}","{""ImportId"":""QID2056_LAST_CLICK""}","{""ImportId"":""QID2056_PAGE_SUBMIT""}","{""ImportId"":""QID2056_CLICK_COUNT""}","{""ImportId"":""QID2105_FIRST_CLICK""}","{""ImportId"":""QID2105_LAST_CLICK""}","{""ImportId"":""QID2105_PAGE_SUBMIT""}","{""ImportId"":""QID2105_CLICK_COUNT""}","{""ImportId"":""QID2074_1""}","{""ImportId"":""QID2073_1""}","{""ImportId"":""QID2057_FIRST_CLICK""}","{""ImportId"":""QID2057_LAST_CLICK""}","{""ImportId"":""QID2057_PAGE_SUBMIT""}","{""ImportId"":""QID2057_CLICK_COUNT""}","{""ImportId"":""QID2106_FIRST_CLICK""}","{""ImportId"":""QID2106_LAST_CLICK""}","{""ImportId"":""QID2106_PAGE_SUBMIT""}","{""ImportId"":""QID2106_CLICK_COUNT""}","{""ImportId"":""QID2083_1""}","{""ImportId"":""QID2086_1""}","{""ImportId"":""QID2058_FIRST_CLICK""}","{""ImportId"":""QID2058_LAST_CLICK""}","{""ImportId"":""QID2058_PAGE_SUBMIT""}","{""ImportId"":""QID2058_CLICK_COUNT""}","{""ImportId"":""QID2107_FIRST_CLICK""}","{""ImportId"":""QID2107_LAST_CLICK""}","{""ImportId"":""QID2107_PAGE_SUBMIT""}","{""ImportId"":""QID2107_CLICK_COUNT""}","{""ImportId"":""QID2076_1""}","{""ImportId"":""QID2085_1""}","{""ImportId"":""QID2109_FIRST_CLICK""}","{""ImportId"":""QID2109_LAST_CLICK""}","{""ImportId"":""QID2109_PAGE_SUBMIT""}","{""ImportId"":""QID2109_CLICK_COUNT""}","{""ImportId"":""QID2108_FIRST_CLICK""}","{""ImportId"":""QID2108_LAST_CLICK""}","{""ImportId"":""QID2108_PAGE_SUBMIT""}","{""ImportId"":""QID2108_CLICK_COUNT""}","{""ImportId"":""QID2084_1""}","{""ImportId"":""QID2087_1""}","{""ImportId"":""QID2067_FIRST_CLICK""}","{""ImportId"":""QID2067_LAST_CLICK""}","{""ImportId"":""QID2067_PAGE_SUBMIT""}","{""ImportId"":""QID2067_CLICK_COUNT""}","{""ImportId"":""QID2052_FIRST_CLICK""}","{""ImportId"":""QID2052_LAST_CLICK""}","{""ImportId"":""QID2052_PAGE_SUBMIT""}","{""ImportId"":""QID2052_CLICK_COUNT""}","{""ImportId"":""QID2104_FIRST_CLICK""}","{""ImportId"":""QID2104_LAST_CLICK""}","{""ImportId"":""QID2104_PAGE_SUBMIT""}","{""ImportId"":""QID2104_CLICK_COUNT""}","{""ImportId"":""QID2090_1""}","{""ImportId"":""QID2091_1""}","{""ImportId"":""QID2053_FIRST_CLICK""}","{""ImportId"":""QID2053_LAST_CLICK""}","{""ImportId"":""QID2053_PAGE_SUBMIT""}","{""ImportId"":""QID2053_CLICK_COUNT""}","{""ImportId"":""QID2103_FIRST_CLICK""}","{""ImportId"":""QID2103_LAST_CLICK""}","{""ImportId"":""QID2103_PAGE_SUBMIT""}","{""ImportId"":""QID2103_CLICK_COUNT""}","{""ImportId"":""QID2093_1""}","{""ImportId"":""QID2092_1""}","{""ImportId"":""QID2059_FIRST_CLICK""}","{""ImportId"":""QID2059_LAST_CLICK""}","{""ImportId"":""QID2059_PAGE_SUBMIT""}","{""ImportId"":""QID2059_CLICK_COUNT""}","{""ImportId"":""QID2102_FIRST_CLICK""}","{""ImportId"":""QID2102_LAST_CLICK""}","{""ImportId"":""QID2102_PAGE_SUBMIT""}","{""ImportId"":""QID2102_CLICK_COUNT""}","{""ImportId"":""QID2095_1""}","{""ImportId"":""QID2094_1""}","{""ImportId"":""QID2060_FIRST_CLICK""}","{""ImportId"":""QID2060_LAST_CLICK""}","{""ImportId"":""QID2060_PAGE_SUBMIT""}","{""ImportId"":""QID2060_CLICK_COUNT""}","{""ImportId"":""QID2101_FIRST_CLICK""}","{""ImportId"":""QID2101_LAST_CLICK""}","{""ImportId"":""QID2101_PAGE_SUBMIT""}","{""ImportId"":""QID2101_CLICK_COUNT""}","{""ImportId"":""QID2096_1""}","{""ImportId"":""QID2097_1""}","{""ImportId"":""QID2061_FIRST_CLICK""}","{""ImportId"":""QID2061_LAST_CLICK""}","{""ImportId"":""QID2061_PAGE_SUBMIT""}","{""ImportId"":""QID2061_CLICK_COUNT""}","{""ImportId"":""QID2100_FIRST_CLICK""}","{""ImportId"":""QID2100_LAST_CLICK""}","{""ImportId"":""QID2100_PAGE_SUBMIT""}","{""ImportId"":""QID2100_CLICK_COUNT""}","{""ImportId"":""QID2098_1""}","{""ImportId"":""QID2099_1""}","{""ImportId"":""QID2038""}","{""ImportId"":""QID2039_1""}","{""ImportId"":""QID2040_1""}","{""ImportId"":""QID2041_1""}","{""ImportId"":""QID2042_1""}","{""ImportId"":""QID2080""}","{""ImportId"":""QID2082_TEXT""}","{""ImportId"":""q1_score""}","{""ImportId"":""q2_score""}","{""ImportId"":""q3_score""}","{""ImportId"":""q4_score""}","{""ImportId"":""q5_score""}","{""ImportId"":""final_score""}","{""ImportId"":""earnings""}","{""ImportId"":""correct_res""}","{""ImportId"":""true_earnings""}","{""ImportId"":""correct""}","{""ImportId"":""q1_txt""}","{""ImportId"":""q2_txt""}","{""ImportId"":""q3_txt""}","{""ImportId"":""q4_txt""}","{""ImportId"":""q5_txt""}","{""ImportId"":""surveycode""}","{""ImportId"":""MID""}","{""ImportId"":""p1_txt""}","{""ImportId"":""p2_txt""}","{""ImportId"":""Random""}"
2021-07-09 22:36:19,2021-07-09 22:37:51,Survey Preview,,100,91,True,2021-07-09 22:37:54,R_2YhLYlwEGxfIgCh,,,,,37.5731048583984375,-122.05390167236328125,preview,EN,1,,0,0,2.749,0,Female,,18-24,White/ Caucasian,,Master's or higher degree,"Less than $25,000",,"1
Do not enjoy",3.379,3.379,7.755,1,,,,,,,,,0,0,4.129,0,1.23,4.773,4.795,2,1.778,4.028,4.043,2,,,1.189,3.046,3.066,2,,,,,,,1.767,6.757,6.773,3,,,,,,,1.526,10.813,10.828,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"1
Did not enjoy","1
Not difficult at all","1
Not focused at all","1
No pressure",,,0,0,0,0,10,10,0.20,1,1.25,1,NaN(5+7)*(10-8),NaN(11+13)*(6-5),NaN3+7*2,NaN10+8-7-5,NaN2+3+5+8,9348,,,,2
2021-07-09 22:39:36,2021-07-09 22:53:16,IP Address,157.51.62.60,100,820,True,2021-07-09 22:53:17,R_2e4IILDq5qEipzH,,,,,12.89959716796875,80.22088623046875,anonymous,EN,1,,0,0,19.563,0,Male,,25-34,Asian,,Bachelor's degree,"$50,000 - $100,000",,"5
Very enjoyable",16.301,97.021,158.338,5,,,,,,,,,0,0,7.322,0,5.115,36.749,36.8,2,1.122,115.776,115.813,6,,,1.795,50.813,50.844,4,,,,,,,1.77,119.738,120.134,6,,,,,,,29.352,116.081,116.284,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"5
Very enjoyable","5
Very Difficult",4,"3
Neutral",,,0,0,10,0,0,10,0.40,1,1.25,1,NaN10+8/(6-7),NaN13+5,NaN7*2+(1*4),,NaN8*3-(5+7),1441,A33Z442WJQ8ADC,,,2
2021-07-09 22:38:07,2021-07-09 22:54:39,IP Address,201.47.22.214,100,992,True,2021-07-09 22:54:40,R_2U5fS9EqxPKlcze,,,,,-25.502593994140625,-49.290802001953125,anonymous,EN,0.89999997615814208984375,,6.645,9.859,24.482,2,Male,,18-24,Asian,,Bachelor's degree,"$25,000 - $50,000",,"2
 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4.615,0,2.435,45.098,45.148,12,,,,,,,3.639,39.263,39.308,11,,,,,,,4.405,42.164,42.206,3,,,,,,,1.491,30.475,30.52,4,,,,,,,2.857,24.913,24.955,3,,,,,,,No,"5
Very enjoyable","4
 ",4,"5
A lot of pressure",,,0,0,0,0,0,0,1.00,0,0,0,NaN3*6*(8-7),NaN5*6*(11-13),NaN2*7*(4-1),NaN3*7*(7-2),~+3*8*(2-5),7876,A2825I2XO6KZEP,,,1
2021-07-09 22:54:07,2021-07-09 23:00:33,IP Address,192.154.206.9,100,385,True,2021-07-09 23:00:34,R_1k0TzyF95z6apGi,,,,,36.1020050048828125,-115.1446990966796875,anonymous,EN,0.89999997615814208984375,,0,0,5.706,0,Female,,18-24,White/ Caucasian,,Master's or higher degree,"$50,000 - $100,000",,"5
Very enjoyable",19.194,25.573,30.807,4,,,,,,,,,0,0,2.063,0,3.039,20.427,20.448,5,1.158,23.173,23.196,2,,,0.511,8.175,8.198,2,,,,,,,1.025,10.755,10.781,2,,,,,,,0.804,14.892,14.915,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,"5
Very enjoyable","4
 ",4,"5
A lot of pressure",,,0,0,0,0,0,0,-0.50,0,1.00,0,NaN33.6,NaN11+13+5/6,NaN1/2*4*7,NaN7/3*7*2,NaN2/8*3+5,9853,A35T79LLCN429G,,,2
2021-07-09 22:51:31,2021-07-09 23:00:56,IP Address,122.164.109.114,100,565,True,2021-07-09 23:00:57,R_2e8ZyvtCjEM5jb8,,,,,12.89959716796875,80.22088623046875,anonymous,EN,0.800000011920928955078125,,0,0,8.287,0,Male,,25-34,White/ Caucasian,,Master's or higher degree,"$25,000 - $50,000",,"5
Very enjoyable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,6.515,0,1.123,84.578,84.599,6,,,,,,,0.878,84.702,84.718,4,,,,,,,0.974,23.613,23.633,2,,,,,,,0.94,38.819,38.839,2,,,,,,,0.559,12.432,12.452,2,,,,,,,Yes,"5
Very enjoyable","5
Very Difficult","5
Very focused","5
A lot of pressure",,,0,0,0,0,0,0,1.00,0,0,0,NaN10*8*7/6,NaN11*13*(6-5),NaN1*2*(7-4),NaN7*7*3/2,~+2*8*(5-3),1340,AYIQ5FWAKFHA0,,,1
2021-07-09 23:00:55,2021-07-09 23:05:58,IP Address,192.154.206.9,100,302,True,2021-07-09 23:05:58,R_12Q34VmSUwSwGkh,,,,,36.1020050048828125,-115.1446990966796875,anonymous,EN,0.800000011920928955078125,,1.124,1.124,8.387,1,Female,,18-24,White/ Caucasian,,Master's or higher degree,"More than $100,000",,"5
Very enjoyable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4.938,0,0.884,21.876,21.895,2,,,,,,,0.841,12.177,12.196,2,,,,,,,1.178,13.547,13.585,2,,,,,,,3.198,11.312,11.329,2,,,,,,,0.494,9.454,9.469,2,,,,,,,No,"5
Very enjoyable","4
 ","5
Very focused","4
 ",,,0,0,0,0,0,0,1.00,0,0,0,NaN6*7/10+8,NaN11+13+5*6,NaN1/4*2+7,NaN3*6/7+7,~+2*3/8+5,8336,A35T79LLCN429G,,,1
2021-07-09 23:03:07,2021-07-09 23:07:51,IP Address,122.164.109.67,100,283,True,2021-07-09 23:07:52,R_UXWVg9RAHR9oRUt,,,,,12.89959716796875,80.22088623046875,anonymous,EN,0.800000011920928955078125,,0,0,5.288,0,Male,,25-34,White/ Caucasian,,Master's or higher degree,"$25,000 - $50,000",,"5
Very enjoyable",6.951,6.951,11.087,1,,,,,,,,,3.915,4.21,8.48,2,1.068,38.981,39.007,3,4.139,16.355,16.387,2,,,3.755,29.683,29.7,4,,,,,,,15.305,24.416,24.459,2,,,,,,,1.062,30.75,30.777,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"5
Very enjoyable","5
Very Difficult","5
Very focused","4
 ",,,0,0,0,0,0,0,0.00,0,1.00,0,NaN6*10*(8-7),NaN11*13*(6-5),NaN1*2*(7-4),NaN7*7*3/2,NaN2*8*(5-3),2786,A8LBBPY53A3O3,,,2
2021-07-09 23:04:25,2021-07-09 23:10:14,IP Address,172.107.175.68,100,349,True,2021-07-09 23:10:14,R_33BHn8nizKNX8xe,,,,,32.8137054443359375,-96.87039947509765625,anonymous,EN,1,,0,0,4.207,0,Female,,25-34,White/ Caucasian,,Bachelor's degree,"$50,000 - $100,000",,"5
Very enjoyable",17.776,97.118,102.737,12,,,,,,,,,0,0,3.52,0,1.376,15.063,15.087,2,1.344,12.549,12.569,2,,,11.629,18.437,18.477,2,,,,,,,1.347,13.798,13.839,5,,,,,,,1.773,12.828,12.851,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,"4
 ","3
Neutral","3
Neutral","4
 ",,,0,0,0,0,0,0,0.00,0,1.00,0,NaN6*10/7*8,NaN11*13*5/6,NaN1*2*4/7,NaN7/3*7/2,NaN2/3*3*5,7363,A37UQPGR4DC1LE,,,2
